"arc SWCNT 0.2 mgmL 1 wt% DOC tip 20h 10krpm 13h - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
668.00,0.760
668.50,0.760
669.00,0.760
669.50,0.760
670.00,0.760
670.50,0.760
671.00,0.760
671.50,0.760
672.00,0.760
672.50,0.760
673.00,0.760
673.50,0.760
674.00,0.760
674.50,0.761
675.00,0.761
675.50,0.761
676.00,0.761
676.50,0.761
677.00,0.761
677.50,0.761
678.00,0.762
678.50,0.762
679.00,0.762
679.50,0.763
680.00,0.763
680.50,0.763
681.00,0.764
681.50,0.764
682.00,0.764
682.50,0.765
683.00,0.765
683.50,0.765
684.00,0.766
684.50,0.766
685.00,0.767
685.50,0.767
686.00,0.767
686.50,0.767
687.00,0.768
687.50,0.768
688.00,0.769
688.50,0.769
689.00,0.769
689.50,0.769
690.00,0.769
690.50,0.769
691.00,0.769
691.50,0.768
692.00,0.768
692.50,0.768
693.00,0.768
693.50,0.767
694.00,0.767
694.50,0.766
695.00,0.766
695.50,0.765
696.00,0.764
696.50,0.763
697.00,0.763
697.50,0.761
698.00,0.760
698.50,0.759
699.00,0.758
699.50,0.758
700.00,0.756
700.50,0.755
701.00,0.754
701.50,0.753
702.00,0.751
702.50,0.750
703.00,0.748
703.50,0.746
704.00,0.745
704.50,0.744
705.00,0.742
705.50,0.741
706.00,0.739
706.50,0.738
707.00,0.736
707.50,0.735
708.00,0.734
708.50,0.732
709.00,0.731
709.50,0.730
710.00,0.728
710.50,0.727
711.00,0.726
711.50,0.726
712.00,0.725
712.50,0.724
713.00,0.723
713.50,0.722
714.00,0.722
714.50,0.721
715.00,0.720
715.50,0.720
716.00,0.719
716.50,0.719
717.00,0.718
717.50,0.718
718.00,0.717
718.50,0.717
719.00,0.716
719.50,0.716
720.00,0.716
720.50,0.715
721.00,0.715
721.50,0.715
722.00,0.714
722.50,0.714
723.00,0.714
723.50,0.713
724.00,0.713
724.50,0.712
725.00,0.712
725.50,0.712
726.00,0.711
726.50,0.711
727.00,0.710
727.50,0.710
728.00,0.710
728.50,0.709
729.00,0.709
729.50,0.708
730.00,0.708
730.50,0.707
731.00,0.707
731.50,0.706
732.00,0.706
732.50,0.705
733.00,0.705
733.50,0.704
734.00,0.703
734.50,0.703
735.00,0.702
735.50,0.701
736.00,0.701
736.50,0.700
737.00,0.699
737.50,0.698
738.00,0.697
738.50,0.696
739.00,0.695
739.50,0.694
740.00,0.693
740.50,0.692
741.00,0.691
741.50,0.689
742.00,0.688
742.50,0.687
743.00,0.685
743.50,0.684
744.00,0.682
744.50,0.681
745.00,0.680
745.50,0.679
746.00,0.677
746.50,0.676
747.00,0.674
747.50,0.673
748.00,0.671
748.50,0.670
749.00,0.669
749.50,0.667
750.00,0.666
750.50,0.664
751.00,0.663
751.50,0.661
752.00,0.660
752.50,0.659
753.00,0.657
753.50,0.656
754.00,0.654
754.50,0.653
755.00,0.651
755.50,0.650
756.00,0.649
756.50,0.648
757.00,0.646
757.50,0.645
758.00,0.644
758.50,0.643
759.00,0.642
759.50,0.640
760.00,0.639
760.50,0.638
761.00,0.637
761.50,0.636
762.00,0.635
762.50,0.634
763.00,0.633
763.50,0.632
764.00,0.631
764.50,0.630
765.00,0.630
765.50,0.629
766.00,0.628
766.50,0.627
767.00,0.626
767.50,0.626
768.00,0.625
768.50,0.624
769.00,0.623
769.50,0.623
770.00,0.622
770.50,0.621
771.00,0.620
771.50,0.620
772.00,0.619
772.50,0.618
773.00,0.618
773.50,0.617
774.00,0.617
774.50,0.616
775.00,0.615
775.50,0.615
776.00,0.614
776.50,0.614
777.00,0.613
777.50,0.612
778.00,0.612
778.50,0.611
779.00,0.611
779.50,0.610
780.00,0.609
780.50,0.609
781.00,0.608
781.50,0.608
782.00,0.607
782.50,0.607
783.00,0.606
783.50,0.605
784.00,0.605
784.50,0.604
785.00,0.603
785.50,0.603
786.00,0.602
786.50,0.602
787.00,0.601
787.50,0.601
788.00,0.600
788.50,0.600
789.00,0.599
789.50,0.599
790.00,0.598
790.50,0.597
791.00,0.597
791.50,0.596
792.00,0.596
792.50,0.595
793.00,0.595
793.50,0.594
794.00,0.594
794.50,0.594
795.00,0.593
795.50,0.592
796.00,0.592
796.50,0.592
797.00,0.591
797.50,0.591
798.00,0.590
798.50,0.590
799.00,0.590
799.50,0.589
800.00,0.589
800.50,0.588
801.00,0.588
801.50,0.588
802.00,0.588
802.50,0.587
803.00,0.587
803.50,0.586
804.00,0.586
804.50,0.586
805.00,0.586
805.50,0.586
806.00,0.585
806.50,0.585
807.00,0.585
807.50,0.584
808.00,0.584
808.50,0.584
809.00,0.584
809.50,0.583
810.00,0.583
810.50,0.583
811.00,0.583
811.50,0.583
812.00,0.583
812.50,0.583
813.00,0.583
813.50,0.583
814.00,0.583
814.50,0.582
815.00,0.582
815.50,0.582
816.00,0.582
816.50,0.582
817.00,0.582
817.50,0.582
818.00,0.582
818.50,0.582
819.00,0.582
819.50,0.582
820.00,0.582
820.50,0.582
821.00,0.582
821.50,0.582
822.00,0.582
822.50,0.582
823.00,0.582
823.50,0.582
824.00,0.582
824.50,0.582
825.00,0.582
825.50,0.582
826.00,0.582
826.50,0.582
827.00,0.582
827.50,0.582
828.00,0.582
828.50,0.582
829.00,0.582
829.50,0.582
830.00,0.582
830.50,0.585
831.00,0.585
831.50,0.585
832.00,0.585
832.50,0.585
833.00,0.585
833.50,0.585
834.00,0.585
834.50,0.586
835.00,0.586
835.50,0.586
836.00,0.586
836.50,0.586
837.00,0.587
837.50,0.587
838.00,0.587
838.50,0.588
839.00,0.588
839.50,0.588
840.00,0.588
840.50,0.589
841.00,0.589
841.50,0.589
842.00,0.590
842.50,0.590
843.00,0.590
843.50,0.591
844.00,0.591
844.50,0.592
845.00,0.592
845.50,0.592
846.00,0.593
846.50,0.593
847.00,0.594
847.50,0.594
848.00,0.594
848.50,0.594
849.00,0.595
849.50,0.595
850.00,0.596
850.50,0.596
851.00,0.597
851.50,0.597
852.00,0.597
852.50,0.598
853.00,0.598
853.50,0.599
854.00,0.599
854.50,0.599
855.00,0.600
855.50,0.600
856.00,0.601
856.50,0.601
857.00,0.602
857.50,0.602
858.00,0.603
858.50,0.603
859.00,0.604
859.50,0.604
860.00,0.605
860.50,0.605
861.00,0.606
861.50,0.606
862.00,0.606
862.50,0.607
863.00,0.607
863.50,0.608
864.00,0.608
864.50,0.609
865.00,0.609
865.50,0.610
866.00,0.610
866.50,0.611
867.00,0.611
867.50,0.612
868.00,0.612
868.50,0.613
869.00,0.613
869.50,0.614
870.00,0.614
870.50,0.615
871.00,0.615
871.50,0.616
872.00,0.617
872.50,0.617
873.00,0.618
873.50,0.618
874.00,0.619
874.50,0.620
875.00,0.620
875.50,0.621
876.00,0.622
876.50,0.622
877.00,0.623
877.50,0.624
878.00,0.625
878.50,0.626
879.00,0.626
879.50,0.627
880.00,0.628
880.50,0.629
881.00,0.630
881.50,0.631
882.00,0.632
882.50,0.632
883.00,0.633
883.50,0.634
884.00,0.635
884.50,0.636
885.00,0.637
885.50,0.638
886.00,0.639
886.50,0.640
887.00,0.641
887.50,0.642
888.00,0.643
888.50,0.644
889.00,0.645
889.50,0.646
890.00,0.647
890.50,0.648
891.00,0.649
891.50,0.650
892.00,0.651
892.50,0.652
893.00,0.653
893.50,0.654
894.00,0.655
894.50,0.656
895.00,0.657
895.50,0.658
896.00,0.659
896.50,0.660
897.00,0.661
897.50,0.662
898.00,0.663
898.50,0.664
899.00,0.665
899.50,0.666
900.00,0.667
900.50,0.668
901.00,0.669
901.50,0.670
902.00,0.671
902.50,0.672
903.00,0.673
903.50,0.674
904.00,0.675
904.50,0.676
905.00,0.676
905.50,0.677
906.00,0.678
906.50,0.679
907.00,0.680
907.50,0.681
908.00,0.682
908.50,0.683
909.00,0.684
909.50,0.685
910.00,0.685
910.50,0.686
911.00,0.687
911.50,0.688
912.00,0.689
912.50,0.690
913.00,0.691
913.50,0.692
914.00,0.693
914.50,0.694
915.00,0.694
915.50,0.695
916.00,0.696
916.50,0.697
917.00,0.698
917.50,0.699
918.00,0.700
918.50,0.701
919.00,0.702
919.50,0.703
920.00,0.704
920.50,0.705
921.00,0.706
921.50,0.707
922.00,0.708
922.50,0.710
923.00,0.711
923.50,0.712
924.00,0.713
924.50,0.714
925.00,0.715
925.50,0.716
926.00,0.717
926.50,0.718
927.00,0.719
927.50,0.721
928.00,0.722
928.50,0.723
929.00,0.724
929.50,0.725
930.00,0.726
930.50,0.727
931.00,0.728
931.50,0.729
932.00,0.730
932.50,0.731
933.00,0.732
933.50,0.733
934.00,0.734
934.50,0.735
935.00,0.736
935.50,0.737
936.00,0.738
936.50,0.739
937.00,0.740
937.50,0.741
938.00,0.741
938.50,0.742
939.00,0.743
939.50,0.744
940.00,0.744
940.50,0.745
941.00,0.746
941.50,0.746
942.00,0.747
942.50,0.747
943.00,0.748
943.50,0.749
944.00,0.749
944.50,0.750
945.00,0.750
945.50,0.751
946.00,0.751
946.50,0.751
947.00,0.752
947.50,0.752
948.00,0.753
948.50,0.753
949.00,0.753
949.50,0.754
950.00,0.754
950.50,0.755
951.00,0.755
951.50,0.755
952.00,0.756
952.50,0.756
953.00,0.757
953.50,0.757
954.00,0.757
954.50,0.758
955.00,0.758
955.50,0.759
956.00,0.759
956.50,0.760
957.00,0.761
957.50,0.761
958.00,0.762
958.50,0.762
959.00,0.763
959.50,0.763
960.00,0.764
960.50,0.765
961.00,0.765
961.50,0.766
962.00,0.767
962.50,0.767
963.00,0.768
963.50,0.768
964.00,0.769
964.50,0.770
965.00,0.770
965.50,0.771
966.00,0.772
966.50,0.772
967.00,0.773
967.50,0.774
968.00,0.774
968.50,0.775
969.00,0.776
969.50,0.776
970.00,0.777
970.50,0.778
971.00,0.778
971.50,0.779
972.00,0.779
972.50,0.780
973.00,0.780
973.50,0.781
974.00,0.781
974.50,0.782
975.00,0.782
975.50,0.783
976.00,0.783
976.50,0.784
977.00,0.784
977.50,0.785
978.00,0.785
978.50,0.786
979.00,0.786
979.50,0.786
980.00,0.787
980.50,0.787
981.00,0.787
981.50,0.788
982.00,0.788
982.50,0.788
983.00,0.788
983.50,0.789
984.00,0.789
984.50,0.789
985.00,0.789
985.50,0.789
986.00,0.789
986.50,0.789
987.00,0.790
987.50,0.790
988.00,0.790
988.50,0.790
989.00,0.790
989.50,0.790
990.00,0.790
990.50,0.790
991.00,0.790
991.50,0.790
992.00,0.790
992.50,0.790
993.00,0.790
993.50,0.790
994.00,0.790
994.50,0.790
995.00,0.790
995.50,0.790
996.00,0.789
996.50,0.789
997.00,0.789
997.50,0.789
998.00,0.789
998.50,0.789
999.00,0.789
999.50,0.789
1000.00,0.789
1000.50,0.788
1001.00,0.788
1001.50,0.788
1002.00,0.788
1002.50,0.788
1003.00,0.787
1003.50,0.787
1004.00,0.787
1004.50,0.787
1005.00,0.786
1005.50,0.786
1006.00,0.786
1006.50,0.785
1007.00,0.785
1007.50,0.784
1008.00,0.784
1008.50,0.783
1009.00,0.783
1009.50,0.782
1010.00,0.782
1010.50,0.781
1011.00,0.781
1011.50,0.780
1012.00,0.779
1012.50,0.779
1013.00,0.778
1013.50,0.777
1014.00,0.776
1014.50,0.775
1015.00,0.775
1015.50,0.774
1016.00,0.773
1016.50,0.772
1017.00,0.771
1017.50,0.770
1018.00,0.769
1018.50,0.768
1019.00,0.767
1019.50,0.766
1020.00,0.764
1020.50,0.763
1021.00,0.762
1021.50,0.761
1022.00,0.759
1022.50,0.758
1023.00,0.757
1023.50,0.755
1024.00,0.754
1024.50,0.753
1025.00,0.751
1025.50,0.750
1026.00,0.749
1026.50,0.747
1027.00,0.746
1027.50,0.744
1028.00,0.743
1028.50,0.742
1029.00,0.740
1029.50,0.739
1030.00,0.737
1030.50,0.736
1031.00,0.734
1031.50,0.733
1032.00,0.732
1032.50,0.730
1033.00,0.729
1033.50,0.727
1034.00,0.726
1034.50,0.724
1035.00,0.723
1035.50,0.721
1036.00,0.720
1036.50,0.719
1037.00,0.717
1037.50,0.716
1038.00,0.714
1038.50,0.713
1039.00,0.711
1039.50,0.710
1040.00,0.709
1040.50,0.707
1041.00,0.706
1041.50,0.705
1042.00,0.703
1042.50,0.702
1043.00,0.701
1043.50,0.700
1044.00,0.698
1044.50,0.697
1045.00,0.696
